date,day_of_week,bedtime,wake_time,total_sleep_hours,deep_sleep_hours,rem_sleep_hours,awakenings,sleep_quality
2026-02-22,Sunday,02:32,10:45,8.22,1.26,2.06,0,excellent
2026-02-23,Monday,02:54,08:45,5.86,1.15,1.15,4,poor
2026-02-24,Tuesday,02:40,08:33,5.89,1.22,1.08,0,poor
2026-02-25,Wednesday,02:46,08:19,5.55,1.22,1.42,1,poor
2026-02-26,Thursday,02:55,08:35,5.67,1.19,1.41,4,poor
2026-02-27,Friday,04:12,09:36,5.4,0.91,1.31,3,poor
2026-02-28,Saturday,04:05,13:19,9.23,1.76,1.78,0,good
2026-03-01,Sunday,02:18,11:01,8.73,1.71,1.58,0,excellent
2026-03-02,Monday,04:05,09:32,5.46,1.03,1.12,0,average
2026-03-03,Tuesday,04:21,09:31,5.17,0.95,0.96,3,average
2026-03-04,Wednesday,03:14,08:21,5.12,0.85,1.32,3,poor
2026-03-05,Thursday,03:28,09:23,5.92,1.08,1.49,3,poor
2026-03-06,Friday,03:23,08:32,5.16,0.79,0.95,3,average
2026-03-07,Saturday,04:24,13:42,9.3,1.56,2.12,1,excellent
2026-03-08,Sunday,02:44,12:18,9.58,1.93,2.37,2,good
2026-03-09,Monday,04:32,09:40,5.13,0.73,0.98,1,poor
2026-03-10,Tuesday,04:33,09:36,5.05,0.87,1.23,0,average
2026-03-11,Wednesday,02:15,08:15,6.0,1.07,1.36,1,poor
2026-03-12,Thursday,03:16,08:49,5.56,0.81,1.41,3,average
2026-03-13,Friday,03:33,08:56,5.4,1.14,1.31,4,average
2026-03-14,Saturday,03:05,11:09,8.08,1.17,1.82,2,excellent
2026-03-15,Sunday,04:27,12:59,8.54,1.39,1.72,0,good
2026-03-16,Monday,03:21,08:48,5.45,0.94,1.06,2,poor
2026-03-17,Tuesday,03:57,09:26,5.49,1.11,1.09,0,poor
2026-03-18,Wednesday,02:47,08:17,5.5,1.06,1.04,3,poor
2026-03-19,Thursday,04:06,09:07,5.03,0.75,0.96,1,average
2026-03-20,Friday,03:37,08:39,5.05,1.08,0.92,3,average
2026-03-21,Saturday,04:20,12:32,8.2,1.38,1.91,2,excellent
2026-03-22,Sunday,02:29,10:30,8.03,1.47,1.69,1,excellent
2026-03-23,Monday,04:09,09:34,5.42,1.07,1.23,2,average
2026-03-24,Tuesday,03:18,08:30,5.21,0.99,1.19,0,poor
2026-03-25,Wednesday,02:45,08:15,5.5,0.93,1.39,2,poor
2026-03-26,Thursday,03:40,09:20,5.67,1.08,1.21,1,average
2026-03-27,Friday,04:10,09:18,5.14,0.99,1.13,0,average
2026-03-28,Saturday,03:19,11:34,8.26,1.22,2.09,1,excellent
2026-03-29,Sunday,04:58,13:13,8.26,1.77,1.93,1,excellent
2026-03-30,Monday,03:39,08:44,5.1,0.74,1.21,4,average
2026-03-31,Tuesday,03:36,09:17,5.7,1.02,1.23,1,poor
2026-04-01,Wednesday,02:47,08:21,5.57,0.93,1.36,1,average
2026-04-02,Thursday,03:26,09:28,6.04,1.31,1.12,0,average
2026-04-03,Friday,03:39,08:58,5.33,1.02,1.11,2,poor
2026-04-04,Saturday,02:30,11:28,8.97,1.97,1.96,1,excellent
2026-04-05,Sunday,04:22,14:17,9.93,1.63,2.12,2,excellent
2026-04-06,Monday,04:00,09:21,5.36,0.79,1.11,3,average
2026-04-07,Tuesday,03:30,09:29,5.99,1.25,1.15,4,poor
2026-04-08,Wednesday,03:15,08:19,5.07,1.02,1.18,2,poor
2026-04-09,Thursday,02:59,09:05,6.1,1.16,1.52,0,poor
2026-04-10,Friday,04:10,09:16,5.11,1.09,1.29,4,average
2026-04-11,Saturday,02:19,10:48,8.5,1.77,1.69,0,excellent
2026-04-12,Sunday,02:00,10:29,8.48,1.62,1.71,1,good
2026-04-13,Monday,03:19,08:31,5.21,0.76,1.23,2,poor
2026-04-14,Tuesday,03:08,09:07,6.0,1.1,1.11,2,poor
2026-04-15,Wednesday,02:40,08:18,5.63,1.13,1.34,3,average
2026-04-16,Thursday,03:19,09:27,6.15,1.26,1.14,2,poor
2026-04-17,Friday,04:28,09:36,5.14,1.06,1.29,1,poor
2026-04-18,Saturday,03:32,12:26,8.9,1.8,2.07,1,excellent
2026-04-19,Sunday,04:36,13:50,9.25,1.66,1.67,0,excellent
2026-04-20,Monday,03:29,08:54,5.43,0.88,0.99,4,poor
2026-04-21,Tuesday,05:22,12:37,7.26,1.4,1.78,0,very_poor
2026-04-22,Wednesday,05:12,11:50,6.64,1.41,1.49,2,poor
2026-04-23,Thursday,04:12,09:45,5.56,0.85,1.34,3,very_poor
2026-04-24,Friday,05:25,12:53,7.48,1.31,1.55,2,very_poor
2026-04-25,Saturday,04:56,11:06,6.17,1.0,1.52,2,very_poor
2026-04-26,Sunday,05:23,11:40,6.29,1.29,1.31,1,very_poor
2026-04-27,Monday,05:12,12:34,7.37,1.13,1.52,2,very_poor
2026-04-28,Tuesday,05:14,11:28,6.24,1.11,1.53,3,very_poor
2026-04-29,Wednesday,04:50,10:56,6.11,1.3,1.45,1,poor
2026-04-30,Thursday,04:21,10:13,5.87,1.02,1.28,2,poor
