date,day_of_week,bedtime,wake_time,total_sleep_hours,deep_sleep_hours,rem_sleep_hours,awakenings,sleep_quality
2026-02-28,Saturday,02:21,12:21,10.0,1.97,2.3,0,excellent
2026-03-01,Sunday,03:49,13:41,9.87,1.48,2.21,0,excellent
2026-03-02,Monday,01:17,08:07,6.83,1.15,1.14,2,average
2026-03-03,Tuesday,03:05,09:44,6.65,1.16,1.57,6,poor
2026-03-04,Wednesday,01:06,08:24,7.3,1.41,1.51,5,poor
2026-03-05,Thursday,01:39,08:07,6.47,0.81,1.02,2,average
2026-03-06,Friday,03:42,09:59,6.28,1.22,1.44,5,poor
2026-03-07,Saturday,04:41,11:28,6.78,1.25,1.57,0,good
2026-03-08,Sunday,03:56,12:29,8.55,1.6,2.03,3,good
2026-03-09,Monday,01:41,08:13,6.53,0.97,1.21,7,poor
2026-03-10,Tuesday,02:27,11:04,8.62,1.58,1.75,3,average
2026-03-11,Wednesday,02:43,08:17,5.57,1.0,1.26,1,average
2026-03-12,Thursday,01:16,08:01,6.75,1.04,1.22,0,average
2026-03-13,Friday,03:31,10:39,7.13,1.35,1.56,0,average
2026-03-14,Saturday,03:12,11:27,8.25,1.57,1.75,2,good
2026-03-15,Sunday,03:33,13:57,10.4,1.47,2.27,3,excellent
2026-03-16,Monday,01:43,08:08,6.42,0.86,1.06,0,average
2026-03-17,Tuesday,03:33,09:34,6.02,1.04,1.19,1,average
2026-03-18,Wednesday,02:44,08:25,5.68,1.12,1.17,3,average
2026-03-19,Thursday,01:45,08:03,6.3,0.74,1.16,2,average
2026-03-20,Friday,04:58,10:54,5.93,0.96,1.29,5,poor
2026-03-21,Saturday,04:04,12:56,8.87,1.41,1.9,0,good
2026-03-22,Sunday,04:06,11:20,7.23,1.04,1.58,3,good
2026-03-23,Monday,01:48,08:04,6.27,0.67,1.08,4,poor
2026-03-24,Tuesday,04:08,11:15,7.12,1.36,1.53,4,poor
2026-03-25,Wednesday,01:34,08:22,6.8,0.99,1.26,3,average
2026-03-26,Thursday,01:33,08:10,6.62,1.2,1.35,6,poor
2026-03-27,Friday,03:14,11:28,8.23,1.5,1.83,1,average
2026-03-28,Saturday,03:11,13:38,10.45,1.82,2.36,3,excellent
2026-03-29,Sunday,04:32,13:54,9.37,1.81,1.94,1,excellent
2026-03-30,Monday,01:04,08:16,7.2,1.09,1.24,2,average
2026-03-31,Tuesday,04:22,10:41,6.32,1.09,1.18,2,average
2026-04-01,Wednesday,01:04,08:23,7.32,1.31,1.55,3,average
2026-04-02,Thursday,01:13,08:13,7.0,1.13,1.27,1,average
2026-04-03,Friday,02:42,11:23,8.68,1.6,1.72,4,poor
2026-04-04,Saturday,03:30,11:23,7.88,1.51,1.79,0,good
2026-04-05,Sunday,02:18,12:08,9.83,1.57,1.84,0,excellent
2026-04-06,Monday,01:35,08:09,6.57,1.03,1.02,3,average
2026-04-07,Tuesday,04:27,11:21,6.9,1.24,1.55,1,average
2026-04-08,Wednesday,02:07,08:19,6.2,0.95,1.42,1,average
2026-04-09,Thursday,01:27,08:05,6.63,0.9,1.13,3,average
2026-04-10,Friday,04:09,11:25,7.27,1.34,1.69,0,average
2026-04-11,Saturday,03:01,11:09,8.13,1.38,1.88,0,good
2026-04-12,Sunday,02:09,11:38,9.48,1.36,2.22,2,excellent
2026-04-13,Monday,01:11,08:16,7.08,1.07,1.13,0,average
2026-04-14,Tuesday,02:20,09:53,7.55,1.46,1.66,1,average
2026-04-15,Wednesday,01:41,08:19,6.63,1.09,1.25,2,average
2026-04-16,Thursday,01:30,08:05,6.58,0.85,1.08,5,poor
2026-04-17,Friday,02:02,11:23,9.35,1.84,1.97,2,average
2026-04-18,Saturday,03:15,12:27,9.2,1.3,1.93,2,excellent
2026-04-19,Sunday,04:06,13:36,9.5,1.61,1.9,0,excellent
2026-04-20,Monday,01:39,08:12,6.55,1.12,1.24,3,average
2026-04-21,Tuesday,06:33,15:30,8.95,1.64,2.05,3,good
2026-04-22,Wednesday,05:35,14:36,9.02,2.24,2.27,3,good
2026-04-23,Thursday,05:29,15:22,9.89,1.6,2.41,1,good
2026-04-24,Friday,06:51,15:21,8.5,1.37,1.83,0,good
2026-04-25,Saturday,06:34,15:09,8.58,2.11,2.02,0,good
2026-04-26,Sunday,04:28,13:23,8.92,1.75,2.57,0,good
2026-04-27,Monday,04:47,12:51,8.07,1.72,2.32,0,average
2026-04-28,Tuesday,04:35,14:00,9.43,2.07,2.55,3,good
2026-04-29,Wednesday,04:41,12:55,8.25,1.81,2.74,2,average
2026-04-30,Thursday,06:21,15:10,8.83,1.29,1.56,3,good
